Asset Tag,Serial Number,Type,Make,Model,Site,Purchase Date,Purchase Cost,Warranty,Status,Notes
2044,DE28007012,monitor,Dell,U3423WE,Omaha,19-Jan-2023,899.00,36,ASSIGNED,
IT-000180,LE59901698,Laptop,Lenovo,ThinkPad T14,SLC,01/24/2025,"1,389.00",3 yr,Disposed,Donated 2026-05-13
IT-001919,HP25951340,Laptop,HP,EliteBook 840,Omaha ,2026-04-20,1329,3 years,In stock,
IT-002955,DE52251879,Monitor,Dell,P2723DE,omaha,06/12/2019,$389.00,36,ASSIGNED,
IT-000339,LG46648109,Monitor,LG,27UP850,Denver,2019-05-24,449,1 year,Assigned,
IT-2670,SA57591335,Phone,Samsung,Galaxy S24,DENVER,05/18/2024,$859.00,12 months,assigned,
IT-003454,DE72006924,monitor,Dell,P2723DE,SLC,"December 08, 2025",389,3 yr,IN STOCK,
IT-002127,HP85529111,laptop,HP,EliteBook 840,salt lake city,08/20/22,"1,329.00",3 yr,ASSIGNED,
IT-003179,AP89326442,Laptop,Apple,MacBook Pro 14,Salt Lake City,12/26/25,"$2,199.00",36 months,Assigned,
IT-002720,LG15526799,monitor,LG,27UP850,Denver,"March 19, 2023",$449.00,12 months,assigned,
IT-003743,BR51710064,Printer,Brother,MFC-L8900,Denver,"April 30, 2019",699.00,12,IN SERVICE,
IT-003152,DE16034864,Laptop,Dell,Latitude 5440,Denver,11/14/2021,"1,249.00",3 years,ASSIGNED,
IT-000091,DE91760142,Monitor,Dell,P2723DE,BOISE,2025-04-11,$389.00,3 yr,Assigned,
344,CI29167825,Switch,Cisco,C9200L-24P,Boise,"July 12, 2022","3,150.00",5 years,IN SERVICE,
001469,SA15834608,Phone,Samsung,Galaxy S24,Denver,27-Dec-2024,$859.00,1 yr,ASSIGNED,
IT-002489,DE59486630,Dock,Dell,WD19S,DENVER,17-Apr-2021,229,1 yr,assigned,
IT-001231,UB86886670,switch,Ubiquiti,USW-Pro-24,Denver,2020-09-27,699,1 year,in service,
IT-002756,LG71267151,Monitor,LG,27UP850,Denver,10/13/22,$449.00,12 months,Assigned,
IT-4028,DE53844621,Laptop,Dell,Latitude 5440,SLC,30-Jun-2026,1249,3 years,in stock,
IT-004166,AP81072263,laptop,Apple,MacBook Pro 14,salt lake city,02/10/21,"2,199.00",36 months,In stock,
IT-003095,DE80505046,Server,Dell,PowerEdge R660,SLC,"June 30, 2019","9,800.00",5 yr,In service,
IT-001561,DE94360100,Monitor,Dell,U3423WE,Denver,13-Feb-2026,899.00,3 years,ASSIGNED,
1030,CI81314801,Switch,Cisco,C9200L-24P,Boise,02/23/25,"3,150.00",5 yr,IN SERVICE,
IT-000655,LE73582283,Laptop,Lenovo,ThinkPad T14,Salt Lake City,08/17/2023,1389,36,Disposed,Destroyed 2024-03-22
IT-004302,DE98964419,Laptop,Dell,Latitude 5440,Omaha,08/11/26,"$1,249.00",3 yr,In repair,
IT-003435,LE98665366,Dock,Lenovo,ThinkPad USB-C Dock,Salt Lake City,2025-04-17,249.00,12,Assigned,
001205,SA51795101,phone,Samsung,Galaxy S24,Boise,21-Feb-2022,859,24 months,ASSIGNED,
001289,LG55619318,Monitor,LG,27UP850,Denver HQ,02/22/25,$449.00,1 yr,ASSIGNED,
IT-001502,HP44292610,Laptop,HP,EliteBook 840,Boise ,22-Oct-2022,1329,36,In stock,
001021,AP97940435,laptop,Apple,MacBook Pro 14,SLC,"November 26, 2022","2,199.00",1 year,in stock,
IT-3428,UB51207409,switch,Ubiquiti,USW-Pro-24,Boise ,2020-03-06,699.00,1 year,IN SERVICE,
003238,AP47081922,Phone,Apple,iPhone 15,Denver,10/26/21,799,24 months,assigned,
IT-004347,AP20445496,Laptop,Apple,MacBook Pro 14,Boise,2026-05-12,2199,12,assigned,
4398,SA45684741,Phone,Samsung,Galaxy S24,Omaha,12/11/22,$859.00,1 year,assigned,
IT-000252,UB64548337,Switch,Ubiquiti,USW-Pro-24,BOISE,2022-03-31,699.00,1 yr,IN SERVICE,
IT-001252,DE77759780,Monitor,Dell,P2723DE,Omaha,13-May-2025,389,36 months,DISPOSED,Sold 2026-05-16
IT-003501,LE44653777,Laptop,Lenovo,ThinkPad T14,Denver HQ,04/22/2022,"$1,389.00",3 years,DISPOSED,Destroyed 2026-06-28
IT-000921,DE99117301,Dock,Dell,WD19S,Salt Lake City,01/11/23,229,1 yr,Assigned,
IT-000485,LG30531044,Monitor,LG,27UP850,Denver,01/22/2021,$449.00,12 months,Assigned,
IT-1006,DE73230273,Laptop,Dell,Latitude 7440,Denver HQ,"March 23, 2025","$1,689.00",36 months,assigned,
IT-000277,DE52469260,Monitor,Dell,U3423WE,DENVER,04/21/21,$899.00,60,Assigned,
IT-001166,UB18695588,Switch,Ubiquiti,USW-Pro-24,Boise,08-Nov-2021,$699.00,12 months,In service,
IT-000673,AP83588937,Laptop,Apple,MacBook Pro 14,BOISE,2020-12-02,"2,199.00",3 years,assigned,
IT-001177,DE94593370,Monitor,Dell,U3423WE,BOISE,2024-06-18,899,5 yr,assigned,
IT-000013,HP53342793,Printer,HP,LaserJet M507,Salt Lake City,"September 27, 2022",$749.00,12,in service,
IT-004263,HP67334762,Laptop,HP,EliteBook 840,SLC,01/16/20,"1,329.00",36,Assigned,
002414,HP56088059,Laptop,HP,EliteBook 840,omaha,12/19/24,"1,329.00",36,assigned,
002473,LE13428833,Dock,Lenovo,ThinkPad USB-C Dock,Omaha,"July 31, 2021",249,1 yr,In stock,
IT-1174,DE34508059,Dock,Dell,WD19S,DENVER,06/02/19,$229.00,none,Assigned,
IT-003469,LE78631076,dock,Lenovo,ThinkPad USB-C Dock,Denver HQ,25-Mar-2019,$249.00,1 yr,In stock,
IT-000504,BR70259310,Printer,Brother,MFC-L8900,SLC,08/03/21,$699.00,12,In service,
IT-002423,DE24133985,Monitor,Dell,P2723DE,omaha,02/13/25,389,36 months,Disposed,Recycled 2026-07-04
IT-000137,LE11356953,Laptop,Lenovo,ThinkPad T14,Salt Lake City,07/19/2023,"1,389.00",3 years,Assigned,
IT-003889,DE16942261,Server,Dell,PowerEdge R660,DENVER,01/24/2020,9800,5 yr,In service,
IT-000522,AP57258538,phone,Apple,iPhone 15,Boise ,2022-04-16,799.00,1 year,Assigned,
IT-001804,SA50072061,Phone,Samsung,Galaxy S24,DENVER,12-Aug-2021,$859.00,1 yr,disposed,Donated 2025-08-13
IT-002599,DE78462847,Laptop,Dell,Latitude 5440,Boise,10/15/2022,"1,249.00",3 years,Assigned,
1519,DE10097510,Dock,Dell,WD19S,Omaha ,29-Jul-2019,229.00,none,Assigned,
IT-002158,DE25854286,Server,Dell,PowerEdge R760,omaha,2024-02-05,"$18,450.00",5 years,IN SERVICE,
003055,LE78107174,Laptop,Lenovo,ThinkPad T14,DENVER,2021-10-23,1389,3 yr,assigned,
IT-003434,DE31858369,monitor,Dell,P2723DE,Omaha ,02-Oct-2019,$389.00,36,In stock,
IT-003035,DE67409357,Monitor,Dell,P2723DE,Denver,29-Apr-2020,389.00,36 months,In stock,
IT-000179,DE55567420,dock,Dell,WD19S,DENVER,28-Apr-2021,229,none,IN STOCK,
IT-000611,DE62670981,Laptop,Dell,Latitude 5440,Boise ,2020-10-11,1249,36 months,assigned,
IT-000390,AP96605965,Phone,Apple,iPhone 15,Boise ,"November 08, 2021",799,2 yr,Assigned,
IT-001055,LE69295195,Laptop,Lenovo,ThinkPad T14,Salt Lake City,"June 28, 2022",1389,36 months,Assigned,
IT-003359,AP93664704,Phone,Apple,iPhone 15,Denver,03/02/23,799.00,2 years,Assigned,
IT-001950,DE54684217,Monitor,Dell,P2723DE,Boise,13-Jul-2025,389,36,Assigned,
IT-002979,DE33768198,Monitor,Dell,P2723DE,Omaha,"May 27, 2019",389,3 yr,In stock,
IT-001185,AP84185693,Laptop,Apple,MacBook Pro 14,DENVER,2024-03-12,2199,1 year,Assigned,
IT-003143,DE80351815,Laptop,Dell,Latitude 7440,Denver,"October 25, 2020","$1,689.00",36 months,ASSIGNED,
IT-002833,DE91086543,Laptop,Dell,Latitude 5440,salt lake city,21-Feb-2023,"1,249.00",36 months,Disposed,Sold 2024-12-03
002104,DE43639495,Laptop,Dell,Latitude 7440,Salt Lake City,06/29/2023,1689,3 years,in stock,
IT-004510,AP57829548,Phone,Apple,iPhone 15,BOISE,05/09/19,799.00,2 years,ASSIGNED,
IT-004648,DE35499794,Monitor,Dell,U3423WE,Omaha ,"December 31, 2022",899.00,60,IN STOCK,
IT-002513,DE95817486,Laptop,Dell,Latitude 7440,Denver,07/20/26,"$1,689.00",36,in stock,
IT-001781,LG76418867,Monitor,LG,27UP850,BOISE,"October 14, 2022",449.00,12 months,IN REPAIR,
IT-002901,LE95203497,Dock,Lenovo,ThinkPad USB-C Dock,BOISE,"September 22, 2025",249.00,none,Assigned,
IT-002396,DE27421142,dock,Dell,WD19S,DENVER,"December 25, 2019",229.00,none,assigned,
IT-003653,AP58098959,phone,Apple,iPhone 15,Denver,03/02/20,799.00,24 months,Assigned,
1291,AP70351547,Phone,Apple,iPhone 15,Denver,"October 25, 2021",799.00,24,In stock,
002096,LE74704308,Laptop,Lenovo,ThinkPad T14,SLC,01/07/22,1389,3 yr,assigned,
IT-002453,AP61017966,Phone,Apple,iPhone 15,Boise ,2022-06-25,799.00,24,Assigned,
IT-002473,LE13428833,Dock,Lenovo,ThinkPad USB-C Dock,Omaha,"July 31, 2021",249,1 yr,In stock,
IT-003479,LE59874848,laptop,Lenovo,ThinkPad T14,salt lake city,"June 13, 2021",1389,36,In stock,
IT-001666,LG74865815,Monitor,LG,27UP850,salt lake city,2020-02-18,449,1 year,assigned,
000070,DE17672495,Laptop,Dell,Latitude 7440,Denver,05/25/2025,1689,3 yr,Assigned,
IT-000240,AP62030690,Laptop,Apple,MacBook Pro 14,BOISE,"April 19, 2021",2199,36,IN REPAIR,
IT-001543,DE91534310,Dock,Dell,WD19S,SLC,12/13/2022,229,12,ASSIGNED,
IT-003453,LE83669058,Laptop,Lenovo,ThinkPad T14,Denver,"December 13, 2019",1389,3 yr,Assigned,
IT-1609,LE94265910,laptop,Lenovo,ThinkPad T14,Omaha,01-Sep-2024,"1,389.00",3 yr,in stock,
IT-4683,DE50442666,Laptop,Dell,Latitude 7440,Boise ,24-Dec-2021,"1,689.00",3 yr,disposed,Donated 2025-09-04
IT-000700,DE72294550,Laptop,Dell,Latitude 7440,Salt Lake City,03/18/2023,1689,36 months,assigned,
IT-001855,LG73983637,Monitor,LG,27UP850,DENVER,08/09/2021,$449.00,12 months,ASSIGNED,
2833,DE91086543,Laptop,Dell,Latitude 5440,salt lake city,21-Feb-2023,"1,249.00",36 months,Disposed,Sold 2024-12-03
IT-001293,LG41968911,Monitor,LG,27UP850,Salt Lake City,25-Jan-2021,$449.00,1 year,ASSIGNED,
IT-680,SA33002553,Phone,Samsung,Galaxy S24,Denver HQ,2025-09-09,859.00,2 yr,Assigned,
001328,AP95949441,Phone,Apple,iPhone 15,Salt Lake City,2022-03-12,$799.00,1 year,Assigned,
IT-002653,HP34881374,Laptop,HP,EliteBook 840,Salt Lake City,"August 20, 2023",1329,3 years,ASSIGNED,
IT-2418,HP54298696,Laptop,HP,EliteBook 840,Omaha,01/21/2020,"$1,329.00",3 yr,Disposed,Destroyed 2023-02-28
IT-001925,DE63219273,Monitor,Dell,U3423WE,Boise,2025-12-26,$899.00,3 years,Assigned,
002690,LE14438271,Dock,Lenovo,ThinkPad USB-C Dock,Denver HQ,2024-06-12,249,1 yr,ASSIGNED,
IT-002439,BR26454484,Printer,Brother,MFC-L8900,omaha,06/30/25,699.00,1 yr,In service,
IT-001078,LG14118951,Monitor,LG,27UP850,Salt Lake City,10-Mar-2021,$449.00,1 year,ASSIGNED,
IT-1969,DE95141860,Monitor,Dell,U3423WE,Salt Lake City,2025-03-05,$899.00,5 yr,Assigned,
IT-2619,DE64399130,Monitor,Dell,U3423WE,DENVER,2025-04-05,$899.00,5 yr,Assigned,
IT-874,AP56193944,Laptop,Apple,MacBook Pro 14,salt lake city,2022-01-29,"$2,199.00",12,ASSIGNED,
IT-003504,LE48174741,laptop,Lenovo,ThinkPad T14,DENVER,11/26/24,"$1,389.00",3 years,In stock,
IT-004713,UB62123132,Switch,Ubiquiti,USW-Pro-24,Salt Lake City,09/20/19,699.00,12,in service,
IT-004380,DE54059719,laptop,Dell,Latitude 7440,salt lake city,"March 02, 2026","$1,689.00",3 years,in stock,
IT-002851,DE30295896,Monitor,Dell,U3423WE,Salt Lake City,03/26/2026,$899.00,36,assigned,
IT-000870,DE92427602,Dock,Dell,WD19S,DENVER,20-Apr-2026,$229.00,,ASSIGNED,
IT-3869,DE83286750,Laptop,Dell,Latitude 7440,Omaha ,"July 21, 2024","1,689.00",3 years,Assigned,
3416,DE81013914,Dock,Dell,WD19S,DENVER,2023-03-23,229,1 year,disposed,Sold 2026-08-28
3865,LE49225690,Dock,Lenovo,ThinkPad USB-C Dock,Denver,04/15/2022,$249.00,none,DISPOSED,Donated 2024-02-05
001037,AP88336377,Laptop,Apple,MacBook Pro 14,Salt Lake City,12/24/20,"$2,199.00",1 yr,Assigned,
IT-003955,LE85788315,Dock,Lenovo,ThinkPad USB-C Dock,DENVER,"June 27, 2020",$249.00,none,Assigned,
IT-003731,DE96623176,Dock,Dell,WD19S,Denver,2023-10-21,229,12 months,assigned,
IT-1837,AP29982176,Phone,Apple,iPhone 15,Omaha,2021-02-02,799.00,2 yr,assigned,
IT-843,LE84560961,Laptop,Lenovo,ThinkPad T14,Denver,"August 18, 2021",1389,3 yr,Assigned,
IT-001572,LE46217278,Laptop,Lenovo,ThinkPad T14,Denver,12/12/2022,1389,36,Assigned,
IT-004787,LE79770952,Dock,Lenovo,ThinkPad USB-C Dock,salt lake city,"May 02, 2022",249.00,none,In stock,
IT-001081,LG97517270,monitor,LG,27UP850,Denver,"September 08, 2024",449,12 months,ASSIGNED,
IT-003036,DE63471995,Laptop,Dell,Latitude 7440,DENVER,08/18/2025,"1,689.00",36 months,IN REPAIR,
IT-003159,HP62945005,laptop,HP,EliteBook 840,Denver,2025-06-06,1329,36,assigned,
IT-704,DE60353442,Monitor,Dell,P2723DE,Boise ,03/07/22,$389.00,36 months,assigned,
IT-003504,LE48174741,laptop,Lenovo,ThinkPad T14,DENVER,11/26/24,"$1,389.00",3 years,In stock,
IT-000637,DE91977487,Monitor,Dell,U3423WE,DENVER,10/10/2021,899.00,3 yr,Disposed,Destroyed 2026-05-06
377,LG56518367,Monitor,LG,27UP850,Denver,09-Sep-2023,449.00,1 year,Assigned,
003450,AP61238865,Laptop,Apple,MacBook Pro 14,DENVER,11-Jun-2024,"2,199.00",12 months,in stock,
IT-002916,AP67876477,Phone,Apple,iPhone 15,Omaha ,2025-05-06,799,24,Assigned,
3380,DE30836380,laptop,Dell,Latitude 5440,Denver,2023-08-07,1249,3 years,Assigned,
IT-004096,AP29135084,laptop,Apple,MacBook Pro 14,Denver HQ,"January 11, 2025","2,199.00",3 years,In stock,
IT-000611,DE62670981,Laptop,Dell,Latitude 5440,Boise ,2020-10-11,1249,36 months,assigned,
IT-004080,DE68466844,Dock,Dell,WD19S,Denver,01-Jul-2023,229.00,,Assigned,
IT-003831,DE41365283,Server,Dell,PowerEdge R660,Boise ,"August 23, 2020","$9,800.00",60,In service,
IT-002799,DE22422259,laptop,Dell,Latitude 7440,Denver,"June 12, 2024","1,689.00",36 months,ASSIGNED,
IT-000589,LE79449084,Laptop,Lenovo,ThinkPad T14,omaha,2022-01-25,"1,389.00",3 years,Assigned,
IT-000588,UB19311126,Switch,Ubiquiti,USW-Pro-24,Boise,"March 19, 2019",699.00,12,In service,
4243,AP72806225,Laptop,Apple,MacBook Pro 14,Denver HQ,10/15/25,2199,36 months,In stock,
IT-004696,HP58746949,Laptop,HP,EliteBook 840,Boise,10-Jan-2023,"$1,329.00",3 yr,assigned,
IT-003771,DE92680371,monitor,Dell,P2723DE,Omaha,05/16/20,$389.00,36,in stock,
IT-002384,SA44192263,Phone,Samsung,Galaxy S24,DENVER,08/28/24,859,2 years,DISPOSED,Donated 2026-01-21
IT-001093,DE68110453,Laptop,Dell,Latitude 5440,Omaha ,07/28/23,1249,36,Assigned,
IT-000466,DE98532804,Laptop,Dell,Latitude 7440,salt lake city,05/09/22,"$1,689.00",36,ASSIGNED,
IT-003786,LE68253032,Laptop,Lenovo,ThinkPad T14,Denver HQ,05/05/20,"1,389.00",36,in stock,
IT-004255,AP95640792,Phone,Apple,iPhone 15,DENVER,2019-10-20,799,24 months,ASSIGNED,
IT-003917,AP64791181,Phone,Apple,iPhone 15,SLC,01/12/20,$799.00,24,ASSIGNED,
IT-003994,DE48893290,Laptop,Dell,Latitude 5440,DENVER,"September 08, 2025","1,249.00",3 yr,Assigned,
IT-3470,HP44578827,Laptop,HP,EliteBook 840,DENVER,05/10/21,1329,3 years,assigned,
IT-003063,LG67920468,monitor,LG,27UP850,Denver HQ,"March 30, 2020",$449.00,1 yr,Assigned,
IT-001227,LE36310820,Laptop,Lenovo,ThinkPad T14,Salt Lake City,2022-05-04,1389,3 yr,ASSIGNED,
93,DE56264629,Monitor,Dell,U3423WE,Omaha,2021-03-08,$899.00,60,assigned,
IT-3686,HP99792677,Laptop,HP,EliteBook 840,DENVER,01/28/20,"1,329.00",36,assigned,
IT-001689,DE42040628,Laptop,Dell,Latitude 7440,omaha,2026-01-05,"$1,689.00",36,ASSIGNED,
IT-3655,DE57910857,Monitor,Dell,P2723DE,Salt Lake City,01/14/2026,389.00,3 years,In repair,
IT-000258,DE43629333,Monitor,Dell,P2723DE,DENVER,04/14/19,389,36,DISPOSED,Sold 2020-06-20
IT-000777,DE55814705,Laptop,Dell,Latitude 7440,Boise,"July 28, 2020","1,689.00",36 months,Assigned,
IT-004054,BR65313835,Printer,Brother,MFC-L8900,omaha,11-Sep-2019,699,1 year,in service,
004313,LG23694466,monitor,LG,27UP850,Denver,2024-02-24,449,1 yr,Assigned,
IT-000213,SA60743085,Phone,Samsung,Galaxy S24,salt lake city,"December 05, 2022",$859.00,2 yr,Assigned,
IT-000306,DE26346899,Monitor,Dell,P2723DE,Denver,"September 20, 2019",389.00,36,ASSIGNED,
IT-004770,AP63432654,Phone,Apple,iPhone 15,Omaha,07-Mar-2026,799,24 months,Assigned,
4458,DE70275621,Laptop,Dell,Latitude 7440,Denver HQ,08-Mar-2019,"$1,689.00",3 years,ASSIGNED,
IT-002899,HP85956409,Printer,HP,LaserJet M507,DENVER,"January 28, 2020",749.00,12 months,in service,
IT-003195,DE67410904,laptop,Dell,Latitude 5440,Denver HQ,"November 16, 2019","1,249.00",36,DISPOSED,Recycled 2024-11-22
IT-000334,AP94840565,Phone,Apple,iPhone 15,Salt Lake City,"February 18, 2023",799,2 yr,Assigned,
IT-004523,LG77587067,Monitor,LG,27UP850,Denver HQ,05/06/22,449,1 year,ASSIGNED,
IT-002648,LE46249309,laptop,Lenovo,ThinkPad T14,omaha,07/07/2020,"1,389.00",3 years,ASSIGNED,
IT-001099,LE38006329,laptop,Lenovo,ThinkPad T14,Boise ,10/29/2019,"1,389.00",3 years,IN STOCK,
IT-001174,DE34508059,Dock,Dell,WD19S,DENVER,06/02/19,$229.00,none,Assigned,
IT-000302,DE44437023,Monitor,Dell,U3423WE,Denver,2019-03-02,899,36,assigned,
004352,LE35075151,laptop,Lenovo,ThinkPad T14,Denver,07/03/2021,1389,3 yr,IN STOCK,
324,AP43886336,Laptop,Apple,MacBook Pro 14,Boise,"August 12, 2019","$2,199.00",12,Disposed,Donated 2026-01-14
IT-002779,AP61360867,Phone,Apple,iPhone 15,Salt Lake City,29-Sep-2023,799.00,24,in stock,
IT-004272,DE30542801,Server,Dell,PowerEdge R660,salt lake city,12/25/2020,9800,60,In service,
IT-001715,DE88584844,Monitor,Dell,P2723DE,Omaha,04/03/26,$389.00,3 yr,In stock,
IT-001518,AP78484925,Phone,Apple,iPhone 15,Denver,2023-03-31,799.00,12,Assigned,
IT-002748,DE65654688,laptop,Dell,Latitude 5440,Salt Lake City,02/04/2021,"1,249.00",36 months,ASSIGNED,
IT-000852,DE33436331,Monitor,Dell,U3423WE,Boise ,2020-12-17,899.00,36,In stock,
4148,LE68420987,Dock,Lenovo,ThinkPad USB-C Dock,DENVER,2026-06-06,249,,In stock,
IT-004164,AP56405405,Phone,Apple,iPhone 15,DENVER,16-Jan-2025,799.00,12 months,Assigned,
IT-000263,HP32076936,Laptop,HP,EliteBook 840,Omaha,"April 10, 2021","1,329.00",3 yr,disposed,Recycled 2025-07-02
2841,DE78651296,Laptop,Dell,Latitude 7440,Omaha ,05-Aug-2022,"1,689.00",36,ASSIGNED,
IT-754,DE21362478,Laptop,Dell,Latitude 5440,Denver,"April 06, 2026",1249,3 years,assigned,
IT-004127,LG67349920,Monitor,LG,27UP850,Omaha,07/10/23,449.00,1 yr,in stock,
IT-002492,DE23251374,Laptop,Dell,Latitude 5440,SLC,"November 12, 2021","$1,249.00",36 months,IN STOCK,
IT-000397,AP71149986,Phone,Apple,iPhone 15,Salt Lake City,08/24/2024,799.00,2 years,Assigned,
3354,DE69141669,Monitor,Dell,P2723DE,BOISE,07/22/2021,389.00,3 years,In stock,
549,DE71865119,Monitor,Dell,U3423WE,Denver,04/07/2019,$899.00,36 months,Assigned,
IT-000705,DE26175632,Dock,Dell,WD19S,Denver,2020-07-18,$229.00,12 months,In stock,
IT-002409,DE96972733,Monitor,Dell,U3423WE,Omaha,06/22/2019,899.00,5 years,DISPOSED,Destroyed 2024-12-08
IT-002464,DE73667396,laptop,Dell,Latitude 7440,Boise,24-Dec-2022,"$1,689.00",3 yr,Assigned,
IT-001716,CI26557854,Switch,Cisco,C9200L-24P,Omaha,"March 29, 2020","$3,150.00",5 years,In service,
1900,DE85134626,Monitor,Dell,U3423WE,DENVER,25-Jan-2020,899.00,36 months,Disposed,Sold 2025-04-17
IT-004041,SA60089642,Phone,Samsung,Galaxy S24,Denver,12-Oct-2021,859.00,24 months,disposed,Donated 2023-07-06
IT-000300,DE37716529,Dock,Dell,WD19S,Denver,09/06/2020,229.00,1 year,Assigned,
IT-002363,LG12222434,monitor,LG,27UP850,DENVER,05-Oct-2021,449,1 yr,assigned,
IT-002001,HP60985868,Laptop,HP,EliteBook 840,salt lake city,17-Nov-2020,1329,3 years,ASSIGNED,
IT-004070,DE84917864,monitor,Dell,P2723DE,Denver,2020-06-02,$389.00,3 years,Assigned,
IT-000650,HP94034013,Printer,HP,LaserJet M507,Denver HQ,18-Jul-2023,749,1 yr,in service,
IT-000704,DE60353442,Monitor,Dell,P2723DE,Boise ,03/07/22,$389.00,36 months,assigned,
IT-003429,BR55966031,Printer,Brother,MFC-L8900,Boise,12/08/2020,699,12 months,In service,
IT-000081,DE25901779,monitor,Dell,U3423WE,Salt Lake City,"December 02, 2022",$899.00,60,assigned,
IT-004281,LE34891778,Laptop,Lenovo,ThinkPad T14,Denver,03/07/2020,"$1,389.00",36,disposed,Recycled 2025-06-30
IT-002533,DE95318420,Monitor,Dell,P2723DE,Boise ,2021-11-09,389,36 months,DISPOSED,Sold 2025-06-08
IT-003839,AP51869466,Laptop,Apple,MacBook Pro 14,SLC,"March 06, 2023",2199,1 year,ASSIGNED,
1007,CI32661858,Switch,Cisco,C9200L-24P,Salt Lake City,2019-05-30,"$3,150.00",60,In service,
IT-003053,SA32582857,Phone,Samsung,Galaxy S24,SLC,"June 21, 2023",859.00,2 yr,Assigned,
1893,LE10135934,Dock,Lenovo,ThinkPad USB-C Dock,Denver HQ,01/25/21,249.00,none,assigned,
IT-000941,DE94842939,Monitor,Dell,P2723DE,Denver,10/24/24,389,36,assigned,
IT-000038,DE19615793,Laptop,Dell,Latitude 7440,DENVER,09/15/22,"$1,689.00",36,ASSIGNED,
IT-000287,LG36332802,Monitor,LG,27UP850,DENVER,2021-08-18,449.00,1 yr,IN STOCK,
IT-003223,LE93988644,Laptop,Lenovo,ThinkPad T14,Boise,06/20/2019,1389,36 months,Disposed,Donated 2025-06-16
000555,AP94397571,Laptop,Apple,MacBook Pro 14,Denver,07/14/2025,2199,3 yr,Assigned,
IT-001053,AP10417432,Laptop,Apple,MacBook Pro 14,Salt Lake City,02/19/2021,2199,3 yr,Assigned,
IT-824,UB86713320,Switch,Ubiquiti,USW-Pro-24,SLC,12/15/21,699.00,1 year,in service,
IT-004675,LE16879315,Laptop,Lenovo,ThinkPad T14,Salt Lake City,09/20/25,"1,389.00",3 yr,assigned,
