Sales by territory
Range 04/26/2026 - 05/31/2026
Doc No,Doc Date,Territory,Customer,Amount
SO-40278,2026-05-06,Atlantic,Quarry Road Nursery,"$3,585.76"
SO-40335,2026-05-06,Great Lakes,Pinnacle Roofing,"$2,229.41"
SO-40270,05/06/2026,Atlantic,Quarry Road Nursery,"5,973.58"
SO-40284,2026-05-07,Atlantic,Juniper Street Cafe,"$2,355.55"
SO-40371,2026-05-07,Pacific,Everline Insurance,"$4,232.57"
SO-40305,2026-05-07,Gulf,Driftwood Studio,"$5,300.34"
SO-40282,05/07/2026,Atlantic,Zephyr Bike Works,"7,687.03"
SO-40368,2026-05-08,Pacific,Vantage Point Media,"$8,976.89"
SO-40369,05/08/2026,Pacific,Valley Forge Storage,"4,416.39"
SO-40317,2026-05-08,Gulf,Orchard Hill Dental,"$2,090.71"
SO-40315,05/09/2026,Gulf,Oakhurst Pediatrics,"1,101.70"
SO-40359,2026-05-09,Pacific,Umber Ceramics,"$5,876.87"
SO-40281,2026-05-09,Atlantic,Everline Insurance,"$3,302.82"
SO-40285,05/09/2026,Atlantic,Juniper Street Cafe,"4,580.51"
CM-7110,2026-05-10,Gulf,Granite Peak Outfitters,"(2,349.61)"
SO-40303,05/10/2026,Gulf,Granite Peak Outfitters,"2,349.61"
SO-40308,2026-05-10,Gulf,Redwood Property Mgmt,"$4,682.98"
SO-40268,10-May-2026,Atlantic,Fernbrook Montessori,"3,000.96 USD"
SO-40376,10-May-2026,Pacific,Juniper Street Cafe,"1,690.08 USD"
SO-40325,10-May-2026,Great Lakes,Uptown Fitness,"2,530.70 USD"
SO-40294,05/10/2026,Gulf,Valley Forge Storage,"4,829.43"
SO-40314,2026-05-11,Gulf,Harbor Light Marine,"$1,455.95"
SO-40328,11-May-2026,Great Lakes,Redwood Property Mgmt,390.71 USD
SO-40357,05/12/2026,Pacific,Kestrel Analytics,"1,353.66"
CM-7100,12-May-2026,Pacific,Silverline Logistics,"(7,014.69)"
SO-40327,05/12/2026,Great Lakes,Saltmarsh Kayaks,"6,458.76"
SO-40361,12-May-2026,Pacific,Silverline Logistics,"7,014.69 USD"
SO-40339,05/12/2026,Great Lakes,Mossbank Accounting,"5,252.72"
SO-40326,2026-05-12,Great Lakes,Brightwater Dental,"$1,015.46"
SO-40283,13-May-2026,Atlantic,Zephyr Bike Works,"4,095.09 USD"
SO-40348,05/13/2026,Great Lakes,Nightjar Coffee Roasters,"8,687.55"
SO-40296,2026-05-13,Gulf,Riverbend Physio,"$8,359.86"
SO-40322,13-May-2026,Gulf,Brightwater Dental,"1,400.31 USD"
SO-40331,13-May-2026,Great Lakes,Foxglove Interiors,"6,349.54 USD"
SO-40333,05/13/2026,Great Lakes,Tamarack Brewing,"8,297.08"
SO-40286,13-May-2026,Atlantic,Thistle & Thread Alterations,"6,744.73 USD"
SO-40272,2026-05-13,Atlantic,Silverline Logistics,"$8,636.33"
SO-40350,2026-05-14,Pacific,Copperfield Law,"$5,699.32"
SO-40341,2026-05-15,Great Lakes,Valley Forge Storage,"$1,494.04"
SO-40311,2026-05-15,Gulf,Mossbank Accounting,"$1,646.93"
SO-40277,16-May-2026,Atlantic,Westbrook Plumbing,"1,604.89 USD"
SO-40343,16-May-2026,Great Lakes,Vantage Point Media,"3,562.01 USD"
SO-40351,05/16/2026,Pacific,Cedar & Pine Landscaping,"6,057.22"
SO-40370,16-May-2026,Pacific,Thistle & Thread Alterations,"7,185.62 USD"
SO-40337,17-May-2026,Great Lakes,Quarry Road Nursery,"4,522.32 USD"
SO-40332,2026-05-17,Great Lakes,Hollowell Electric,"$5,332.23"
SO-40265,17-May-2026,Atlantic,Uptown Fitness,"8,940.63 USD"
SO-40353,2026-05-17,Pacific,Kingfisher Charters,"$7,097.24"
SO-40340,17-May-2026,Great Lakes,Valley Forge Storage,"5,477.71 USD"
SO-40364,17-May-2026,Pacific,Lakeside Veterinary,"5,142.14 USD"
SO-40312,05/17/2026,Gulf,Wren & Sparrow Bookshop,"1,519.40"
SO-40297,05/17/2026,Gulf,Quarry Road Nursery,"4,019.44"
SO-40336,05/18/2026,Great Lakes,Brightwater Dental,"2,543.66"
SO-40288,05/18/2026,Atlantic,Northfield Auto Body,"5,066.24"
SO-40334,18-May-2026,Great Lakes,Ironwood Fabrication,798.98 USD
SO-40298,18-May-2026,Gulf,Silverline Logistics,"8,036.11 USD"
SO-40290,2026-05-18,Atlantic,Valley Forge Storage,"$4,046.31"
SO-40324,05/19/2026,Gulf,Cedar & Pine Landscaping,"3,401.37"
SO-40366,05/19/2026,Pacific,Brightwater Dental,"4,584.67"
SO-40266,2026-05-19,Atlantic,Nightjar Coffee Roasters,"$2,828.66"
SO-40342,05/19/2026,Great Lakes,Juniper Street Cafe,"6,328.37"
SO-40372,05/19/2026,Pacific,Ivy Lane Florist,"8,549.73"
SO-40269,2026-05-19,Atlantic,Ironwood Fabrication,"$5,203.95"
SO-40300,05/20/2026,Gulf,Vantage Point Media,"7,966.11"
SO-40309,05/20/2026,Gulf,Hollowell Electric,"2,465.96"
SO-40345,05/20/2026,Great Lakes,Juniper Street Cafe,"2,715.43"
SO-40367,21-May-2026,Pacific,Lakeside Veterinary,"3,847.53 USD"
SO-40264,05/21/2026,Atlantic,Acme Industrial,"5,122.06"
SO-40330,05/21/2026,Great Lakes,Ironwood Fabrication,"5,702.70"
SO-40378,05/21/2026,Pacific,Zephyr Bike Works,"6,856.34"
SO-40293,2026-05-22,Atlantic,Thistle & Thread Alterations,"$1,094.27"
SO-40273,05/22/2026,Atlantic,Brightwater Dental,"8,300.88"
SO-40304,23-May-2026,Gulf,Pinnacle Roofing,"3,975.39 USD"
SO-40302,2026-05-23,Gulf,Redwood Property Mgmt,$821.18
SO-40316,23-May-2026,Gulf,Dorsey Freight,"5,320.08 USD"
SO-40358,23-May-2026,Pacific,Uptown Fitness,"4,070.86 USD"
SO-40271,24-May-2026,Atlantic,Umber Ceramics,"5,345.27 USD"
SO-40320,2026-05-24,Gulf,Oakhurst Pediatrics,"$2,807.93"
SO-40310,25-May-2026,Gulf,Lakeside Veterinary,"6,884.16 USD"
SO-40375,05/25/2026,Pacific,Blue Heron Consulting,"6,244.93"
SO-40276,05/25/2026,Atlantic,Vantage Point Media,"3,769.51"
SO-40301,25-May-2026,Gulf,Umber Ceramics,"3,400.28 USD"
SO-40346,26-May-2026,Great Lakes,Saltmarsh Kayaks,"5,680.71 USD"
SO-40355,26-May-2026,Pacific,Hollowell Electric,"7,599.01 USD"
SO-40279,05/26/2026,Atlantic,Silverline Logistics,"8,752.71"
SO-40356,2026-05-26,Pacific,Riverbend Physio,"$2,449.53"
SO-40352,26-May-2026,Pacific,Cedar & Pine Landscaping,"7,706.07 USD"
SO-40362,2026-05-26,Pacific,Wren & Sparrow Bookshop,"$2,433.97"
SO-40354,05/26/2026,Pacific,Orchard Hill Dental,"8,391.92"
SO-40292,26-May-2026,Atlantic,Zephyr Bike Works,"7,937.69 USD"
SO-40299,2026-05-26,Gulf,Mossbank Accounting,"$8,427.80"
SO-40275,2026-05-26,Atlantic,Yellowtail Seafood,"$5,966.23"
SO-40274,28-May-2026,Atlantic,Acme Industrial,"3,724.74 USD"
SO-40321,05/28/2026,Gulf,Vantage Point Media,"2,709.38"
SO-40318,05/29/2026,Gulf,Tamarack Brewing,"4,069.71"
SO-40365,2026-05-29,Pacific,Vantage Point Media,"$7,046.38"
SO-40313,29-May-2026,Gulf,Northfield Auto Body,"3,120.45 USD"
SO-40360,05/30/2026,Pacific,Dorsey Freight,"5,798.54"
SO-40289,31-May-2026,Atlantic,Thistle & Thread Alterations,"8,930.04 USD"
SO-40280,31-May-2026,Atlantic,Kingfisher Charters,"2,871.02 USD"
SO-40306,05/31/2026,Gulf,Dorsey Freight,"5,051.09"
SO-40267,05/31/2026,Atlantic,Larkspur Yoga,"3,945.71"
SO-40347,2026-05-31,Great Lakes,Acme Industrial,"$8,486.77"
SO-40329,2026-05-31,Great Lakes,Harbor Light Marine,"$3,448.98"
