Vendor No,Vendor Name,Category,Tax ID,Contact,Email,Phone,Payment Terms,Annual Spend,Stage,Added On
V-0002,Apex Pallet Supply,packaging,84-7487693,Anna Brooks,anna.brooks@apexpalletsupply.com,414.555.1939,Net 30,,Documents,26-Mar-2026
V-0112,Brightpath Legal LLP,it & services,26-3866865,Eric Smith,eric.smith@brightpathlegal.com,3125551825,Net 30,"63,606.61",Approved,"February 25, 2025"
V-0075,Tri-State Fire Protection,Facilities,38-9610492,Dorothy Evans,dorothy.evans@tristatefireprotection.com,612.555.1676,Net 60,146282.05,Approved,2020-05-18
V-0116,Hometown Pest Control,Facilities,89-8910302,Hiroshi Garcia,hiroshi.garcia@hometownpestcontrol.com,+1 (608) 555-1727,Net 45,,Review,"July 19, 2026"
SUP-2313,SUNRIDGE FLOUR MILLS,ingredients,387286061,Michelle King,michelle.king@sunridgeflourmills.com,+1 (816) 555-1057,Net 30,192454.04,Approved,2025-12-01
V-0092,Vector IT Solutions,IT & Services,28-7384852,Amanda Taylor,amanda.taylor@vectoritsolutions.com,+1 (612) 555-1938,Net 30,53206.16,Approved,06/18/2021
V-0085,Heartland Dairy, Ingredients,,Leila Bailey,leila.bailey@heartlanddairy.com,(612) 555-1662,Net 30,,New,15-Mar-2026
V-0102,Ironbridge Consulting,IT & Services,,Deborah Lopez,deborah.lopez@ironbridgeconsulting.com,1-515-555-1704,Net 30,,New,"May 20, 2026"
V-0019,Lakeshore Flour Mills,Ingredients,95-1175736,Timothy Chavez,timothy.chavez@lakeshoreflourmills.com,+1 (608) 555-1398,Net 60,285942.07,Approved,"September 01, 2023"
V-0105,Precision Roofing Inc.,Facilities,86-2135070,Daniel Davis,daniel.davis@precisionroofing.com,(608) 555-1539,2% 10 Net 30,,New,07/19/2026
V-0078,Sunridge Honey LLC,Ingredients,33-7333228,Priya White,priya.white@sunridgehoney.com,+1 (414) 555-1205,Net 60,"$427,081.39",Approved,"December 08, 2024"
V-0081,Bramble Hill Honey LLC,Ingredients,19-2400143,Joshua Roberts,joshua.roberts@bramblehillhoney.com,(312) 555-1307,Net 30,"$259,294.89",Approved,2019-03-15
V-0080,Crestline Pallet Supply,Packaging,45-5683391,Fatima Jackson,fatima.jackson@crestlinepalletsupply.com,515-555-1787,2% 10 Net 30,466259.59,Approved,"March 23, 2021"
V-0100,Clearview Labels & Print,Packaging,38-7854822,Sandra Scott,sandra.scott@clearviewlabelsprint.com,6085551306,Net 45,254484.47,Approved,"October 18, 2019"
V-0023,Sweetwater Honey LLC,Ingredients,,Linda Brown,linda.brown@sweetwaterhoney.com,(515) 555-1182,Net 30,,New,08/15/2026
V-0108,Bramble Hill Produce,Ingredients,78-6077544,Mateo Rodriguez,mateo.rodriguez@bramblehillproduce.com,+1 (515) 555-1482,Net 30,, New,05/04/2026
V-0014,Riverbend Orchards,ingredients,46-1740927,Daniel Jones,daniel.jones@riverbendorchards.com,+1 312 555 1985,Net 60,,Review,"July 20, 2026"
V-0064,Northstar Films LLC,Packaging,10-9708810,Kwame Perez,kwame.perez@northstarfilms.com,5155551544,Net 30,,New ,08/07/2026
V-0007,Oakline Consulting,IT & Services,89-3766553,Jennifer King,jennifer.king@oaklineconsulting.com,816-555-1724,Net 45,, Rejected,"March 21, 2026"
V-0062,Catalyst IT Solutions,IT & Services,53-7933977,Donald Rodriguez,donald.rodriguez@catalystitsolutions.com,+1 816 555 1190,Net 30,,Documents,2026-03-11
V-0095,Lone Pine Trucking,Logistics,79-2670704,Chloe Chavez,chloe.chavez@lonepinetrucking.com,+1 816 555 1556,Net 30,143749.42,Approved,2024-11-06
V-0038,Pioneer Pest Control,Facilities,39-6102041,Eric Castillo,eric.castillo@pioneerpestcontrol.com,(515) 555-1143,Net 30,,rejected,05/23/2026
V-0053,Twin Rivers Express,Logistics,67-2456491,Melissa Flores,melissa.flores@twinriversexpress.com,312.555.1275,Net 30,58907.86,Approved,"August 24, 2021"
V-0043,Heartland Cocoa Importers,Ingredients,67-7003097,Matthew Gray,matthew.gray@heartlandcocoaimporters.com,515.555.1584,Net 60,51382.95,Approved,24-Dec-2023
V-0079,Cold Chain Transport Inc.,Logistics,15-3997408,Jason Ross,jason.ross@coldchaintransport.com,(312) 555-1916,Net 30,97691.25,Approved,06/29/2020
V-99,Crestline Labels & Print,Packaging,34-9143457,Priya Morgan,priya.morgan@crestlinelabelsprint.com,312.555.1134,Net 60,276566.28,Approved,"March 19, 2020"
V-0026,Heartland Sugar Refining, Ingredients,90-5155902,Steven Gonzalez,steven.gonzalez@heartlandsugarrefining.com,816-555-1771,Net 45,,New,"March 03, 2026"
V-0097,Northstar Carton Co.,Packaging,32-8342889,Mateo Johnson,mateo.johnson@northstarcarton.com,(414) 555-1716,Net 60,,Documents ,04/03/2026
V-110,Coastal Cocoa Importers,ingredients,48-4670816,Priya Hill,priya.hill@coastalcocoaimporters.com,6125551097,Net 30,,Documents,08/11/26
V-0115,Meadowlark Cocoa Importers,Ingredients,64-5618250,Luis Hughes,luis.hughes@meadowlarkcocoaimporters.com,(515) 555-1539,2% 10 Net 30,"$402,223.21",Approved,03/01/25
V-0012,Keystone Corrugated,Packaging,62-1831947,Rahul Hernandez,rahul.hernandez@keystonecorrugated.com,1-816-555-1063,Net 60,,Documents,09-Jun-2026
V-0089,Copper Kettle Grain Co.,Ingredients,98-1514554,Linda Nguyen,linda.nguyen@copperkettlegrain.com,8165551756,Net 30,"$479,615.05",Approved,02/27/25
V-0066,Cornerstone Landscaping,FACILITIES,13-3194006,Melissa Taylor,melissa.taylor@cornerstonelandscaping.com,608-555-1768,Net 60,"$72,197.52",Approved,02/29/2024
V-0016,Reliable Janitorial,Facilities,16-7851548,Mary Carter,mary.carter@reliablejanitorial.com,4145551253,Net 30,,New ,03/01/26
V-0021,Great Lakes Logistics,Logistics,60-3186352,Sarah Gray,sarah.gray@greatlakeslogistics.com,+1 (816) 555-1869,Net 60,,New,2026-05-08
V-0021,Great Lakes Logistics,Logistics,60-3186352,Sarah Gray,sarah.gray@greatlakeslogistics.com,+1 (816) 555-1869,Net 60,,New,2026-05-08
V-0059,Bluegrass Warehousing,Logistics ,54-4175089,Joshua Alvarez,joshua.alvarez@bluegrasswarehousing.com,+1 312 555 1189,Net 30,7418.26,Approved,21-May-2020
V-0037,Allied Industrial Supply,Facilities ,51-5284926,Kimberly Richardson,kimberly.richardson@alliedindustrialsupply.com,+1 312 555 1609,Net 30,, Review,"May 07, 2026"
V-0086,Apex Labels & Print,Packaging,64-7866195,Fatima Peterson,fatima.peterson@apexlabelsprint.com,+1 608 555 1211,Net 30,156488.83,Approved,11/26/23
V-0027,Riverbend Nut Company,Ingredients,33-6048765,Brian White,brian.white@riverbendnutcompany.com,+1 515 555 1330,2% 10 Net 30,,Documents,05/26/26
V-0098,Twin Rivers Trucking,Logistics,64-6010190,Susan Howard,susan.howard@twinriverstrucking.com,+1 (612) 555-1063,Net 60,,Review,04/12/2026
V-0017,Great Lakes Freight LLC, Logistics,19-2589698,Patricia Lindqvist,patricia.lindqvist@greatlakesfreight.com,+1 (816) 555-1753,Net 30,,Documents,15-Aug-2026
V-0040,Pioneer Industrial Supply,Facilities,39-5934900,Wei Ross,wei.ross@pioneerindustrialsupply.com,1-414-555-1040,Net 45,4906.89,Approved,2019-11-19
V-0036,Cornerstone Roofing Inc.,FACILITIES,41-1056577,Kevin Torres,kevin.torres@cornerstoneroofing.com,+1 (515) 555-1219,Net 45,33277.45,approved,2024-07-13
V-0009,Tidewater Closures,Packaging,82-2926795,Nancy Lewis,nancy.lewis@tidewaterclosures.com,816-555-1910,Net 30,"93,300.09",Approved,"July 22, 2023"
V-0090,Sunridge Flour Mills,Ingredients ,38-7286061,Michelle King,michelle.king@sunridgeflourmills.com,(816) 555-1057,Net 30,192454.04,Approved,02/12/24
V-0076,Precision Mechanical,Facilities,63-8709268,Sandra Howard,sandra.howard@precisionmechanical.com,(608) 555-1416,Net 60,"16,433.40",Approved,02/02/19
V-0106,Granite State Packaging Inc.,Packaging,15-2124897,Shirley Mensah,shirley.mensah@granitestatepackaging.com,+1 (312) 555-1196,Net 30,333119.03,Approved,06/08/19
V-0103,Northfield Dairy,Ingredients,20-3437568,Priya Carter,priya.carter@northfielddairy.com,816-555-1224,2% 10 Net 30,,Review,2026-06-13
V-0071,Cornerstone Janitorial,Facilities,27-6130610,Brian Reed,brian.reed@cornerstonejanitorial.com,5155551587,Net 30,,Rejected,2026-04-03
V-0056,Harvest Valley Dairy,Ingredients,29-5378280,Nicholas Rivera,nicholas.rivera@harvestvalleydairy.com,816-555-1078,Net 60,245907.03,Approved,2021-09-18
V-0064,Northstar Films LLC,Packaging,10-9708810,Kwame Perez,kwame.perez@northstarfilms.com,5155551544,Net 30,,New ,08/07/2026
V-44,Oakline Networks,IT & Services,98-8151618,Jessica Lopez,jessica.lopez@oaklinenetworks.com,+1 (312) 555-1447,Net 30,"$50,596.34",Approved,"December 23, 2021"
V-0060,Tri-County Freight LLC,Logistics,53-6414895,Daniel Ramos,daniel.ramos@tricountyfreight.com,(312) 555-1700,Net 30,,Documents,05/24/2026
V-0029,Frontier Carriers,Logistics,54-2437085,Jessica Cooper,jessica.cooper@frontiercarriers.com,1-414-555-1374,Net 45,33996.63,Approved,06/09/19
V-0065,Tri-County Carriers,Logistics,91-1220526,Aisha Miller,aisha.miller@tricountycarriers.com,414.555.1189,2% 10 Net 30,,Documents,2026-06-13
V-0030,Northwind IT Solutions,IT & Services,51-9650507,Dorothy Kelly,dorothy.kelly@northwinditsolutions.com,1-816-555-1957,Net 30,"$61,524.45",Approved,2021-10-26
V-0027,Riverbend Nut Company,Ingredients,33-6048765,Brian White,brian.white@riverbendnutcompany.com,+1 515 555 1330,2% 10 Net 30,,Documents,05/26/26
V-0061,Bluegrass Express,Logistics,48-9910559,Jessica Hernandez,jessica.hernandez@bluegrassexpress.com,3125551858,2% 10 Net 30,,Review,"April 04, 2026"
V-6,Northwind Networks,IT & Services,23-3308043,Yuki Johnson,yuki.johnson@northwindnetworks.com,816-555-1077,Net 60,"$143,535.46",Approved,06/03/21
V-0013,Ridgeline Freight LLC,Logistics,45-1436793,Charles Howard,charles.howard@ridgelinefreight.com,+1 608 555 1104,Net 30,20284.20,Approved,2019-03-25
V-0020,Guardian Fire Protection,Facilities,51-3553735,Karen Richardson,karen.richardson@guardianfireprotection.com,+1 312 555 1222,Net 30,,Documents,06/11/26
V-0091,Cold Chain Trucking,Logistics,60-2695989,Tomasz Mitchell,tomasz.mitchell@coldchaintrucking.com,+1 (608) 555-1817,Net 45,"$11,959.24",Approved,07/28/2021
V-0073,Apex Closures,Packaging,61-4836249,Dorothy Okafor,dorothy.okafor@apexclosures.com,+1 (414) 555-1339,Net 60,,Review,2026-08-10
V-0001,Ironbridge Payroll Services,IT & Services,68-8748393,Ronald Perez,ronald.perez@ironbridgepayrollservices.com,312-555-1402,Net 30,139551.27,Approved,29-May-2021
V-0096,Superior Pest Control,Facilities,56-8868608,Anthony Peterson,anthony.peterson@superiorpestcontrol.com,8165551020,Net 30,,Rejected,"July 13, 2026"
V-0087,Highway 30 Transport Inc.,Logistics,97-4476322,Chloe Campbell,chloe.campbell@highway30transport.com,608.555.1599,Net 30,,Review,2026-07-25
V-0108,Bramble Hill Produce,Ingredients,78-6077544,Mateo Rodriguez,mateo.rodriguez@bramblehillproduce.com,+1 (515) 555-1482,Net 30,, New,05/04/2026
V-0024,Clearwater Payroll Services,IT & Services,40-6325923,George Reyes,george.reyes@clearwaterpayrollservices.com,6085551691,Net 45,,New,"May 21, 2026"
SUP-2857,PIONEER INDUSTRIAL SUPPLY,facilities,395934900,Wei Ross,wei.ross@pioneerindustrialsupply.com,+1 414 555 1040,Net 45,"4,906.89",Approved,2026-01-20
V-0107,Lone Pine Carriers,Logistics,61-6336803,Jennifer Robinson,jennifer.robinson@lonepinecarriers.com,1-612-555-1720,Net 60,106086.54,Approved,04-Jul-2024
V-0034,Sweetwater Sugar Refining,Ingredients,26-6644158,Rebecca Gomez,rebecca.gomez@sweetwatersugarrefining.com,(816) 555-1882,Net 30,38858.46,Approved,2020-07-29
SUP-2534,"Brightpath Software, Inc.",it & services,956464495,Christopher Torres,christopher.torres@brightpathsoftware.com,816.555.1540,Net 30,147095.22,Approved,"August 05, 2025"
V-0074,Ironclad Corrugated,Packaging,51-3975971,Anna Kelly,anna.kelly@ironcladcorrugated.com,+1 312 555 1889,Net 45,"73,133.55",Approved,01/24/2022
V-0050,Frontier Logistics,Logistics,40-5792187,Wei Brown,wei.brown@frontierlogistics.com,+1 (816) 555-1519,Net 30,"145,227.14",Approved,2023-08-30
V-11,Sterling Legal LLP,IT & Services,38-5909628,Robert Miller,robert.miller@sterlinglegal.com,816.555.1762,Net 60,, Documents,2026-05-13
V-0025,Tri-County Express,Logistics,33-4274040,Sharon Turner,sharon.turner@tricountyexpress.com,6125551254,Net 60,19659.46,Approved ,2025-04-18
V-0094,Summit Roofing Inc.,Facilities,,Jacob Diaz,jacob.diaz@summitroofing.com,515.555.1676,Net 30,,New,2026-07-04
V-0022,Tidewater Corrugated,Packaging,94-1748748,Luis Martin,luis.martin@tidewatercorrugated.com,608.555.1831,Net 45,,REJECTED,18-Apr-2026
V-0055,Brightline Industrial Supply,Facilities,37-9286003,Melissa Carter,melissa.carter@brightlineindustrialsupply.com,+1 (414) 555-1156,Net 45,"$45,609.87",Approved,"March 05, 2019"
V-0045,Blue Ridge Cocoa Importers,INGREDIENTS,31-7554261,Andrew Howard,andrew.howard@blueridgecocoa.com,1-612-555-1134,2% 10 Net 30,,Rejected,13-Jun-2026
V-0010,Harvest Valley Honey LLC,Ingredients,62-3375554,Ashley Price,ashley.price@harvestvalleyhoney.com,+1 612 555 1886,Net 30,,Documents,01-May-2026
V-0028,Crossroads Trucking,Logistics,85-7863382,Daniel Nelson,daniel.nelson@crossroadstrucking.com,816.555.1932,Net 60,,Documents,04/16/2026
V-0018,Willow Brook Dairy,Ingredients,36-8377799,Christopher Scott,christopher.scott@willowbrookdairy.com,+1 515 555 1551,Net 45,,Documents,05/29/26
V-0082,Brightpath Software Inc.,IT & Services,95-6464495,Christopher Torres,christopher.torres@brightpathsoftware.com,816.555.1540,Net 30,147095.22,Approved,08/15/2022
V-0003,Northwind Consulting,IT & Services,25-7776556,Angela Cooper,angela.cooper@northwindconsulting.com,(816) 555-1991,Net 30,,Documents ,19-May-2026
SUP-2058,LAKESHORE SUGAR REFINING,ingredients,375911986,Timothy Kim,timothy.kim@lakeshoresugarrefining.com,5155551197,Net 30,73247.72,Approved,01/08/2026
V-0032,Blue Ridge Honey LLC, Ingredients,66-5629842,Hiroshi Myers,hiroshi.myers@blueridgehoney.com,515.555.1862,Net 30,,New,"July 16, 2026"
V-0077,Blue Ridge Orchards,Ingredients,37-6182219,Rahul Ramirez,rahul.ramirez@blueridgeorchards.com,1-312-555-1235,2% 10 Net 30,404451.32,Approved,"June 24, 2020"
V-0114,Brightline Mechanical,Facilities,39-2106656,Anthony Young,anthony.young@brightlinemechanical.com,+1 515 555 1137,2% 10 Net 30,,New,03/15/2026
V-46,Clearwater CPA Group,IT & Services,34-3313864,Margaret Murphy,margaret.murphy@clearwatercpagroup.com,414.555.1529,Net 30,38691.60,Approved,10-Mar-2021
V-0042,Crestline Closures,packaging,27-9859990,Sarah Rodriguez,sarah.rodriguez@crestlineclosures.com,(816) 555-1116,2% 10 Net 30,,Documents,06/15/26
V-0057,Willow Brook Honey LLC,Ingredients,64-5017033,Karen Williams,karen.williams@willowbrookhoney.com,608-555-1658,2% 10 Net 30,"29,839.83",Approved,"February 17, 2023"
