Billing event log
Exported 07/02/2026 - includes the 2025 book
Event ID,Logged,Account,Event,Plan,Billing period,Contract amount,Effective date,Note
EV-9057,11-Feb-2026,Cedar & Pine Landscaping,Downgrade,Starter (annual),Annual,$ 528.00,,new price effective today
EV-9077,02/11/2026,Hollowell Electric,Cancellation,Team (annual),Annual,"2,148.00",2026-02-13,effective 2026-02-13
EV-9038,02/18/2026,Pemberton HVAC,new,Business,Monthly,499.00,,
EV-9048,18-Feb-2026,Brightwater Dental Group,Trial start,Scale (annual),Annual,"$ 12,840.00",,"14-day trial, not billed"
EV-9051,18-Feb-2026,Ellington Bakeries Group,Trial start,Starter,Monthly,$ 49.00,,"14-day trial, not billed"
EV-9066,01-Mar-2026,Driftwood Studio,Upgrade,Business (annual),Annual,"$ 5,388.00",,new price effective today
EV-9054,04-Mar-2026,Brightwater Dental Group,new,Team,Monthly,$ 199.00,,converted from trial
EV-9061,2026-03-04,Lakeside Veterinary,Upgrade,Scale,Monthly,"$1,190.00",,new price effective today
EV-9050,03/06/2026,Dorsey Freight Group,Trial start,Business,Monthly,499.00,,"14-day trial, not billed"
EV-9065,03/12/2026,Mossbank Accounting,Downgrade,Starter (annual),Annual,528.00,,new price effective today
EV-9076,2026-03-12,Pemberton HVAC,Cancellation,Business,Monthly,$499.00,2026-03-14,effective 2026-03-14
EV-9080,03/13/2026,Mossbank Accounting,Cancellation,Starter (annual),Annual,528.00,2026-03-15,effective 2026-03-15
EV-9082,2026-03-13,Hollowell Electric,Reactivation,Business,Monthly,$499.00,,came back on a monthly plan
EV-9045,19-Mar-2026,Wren & Sparrow Bookshop,new,Team (annual),Annual,"$ 2,148.00",,
EV-9060,20-Mar-2026,Granite Peak Outfitters,Upgrade,Scale (annual),Annual,"$ 12,840.00",,new price effective today
EV-9041,03/22/2026,Saltmarsh Kayaks,new,Team (annual),Annual,"2,148.00",,
EV-9067,2026-03-26,Juniper Street Cafe,Cancellation,Scale,Monthly,"$1,190.00",2026-05-12,effective 2026-05-12
EV-9056,04/01/2026,Acme Industrial,Upgrade,Scale,Monthly,"1,190.00",,new price effective today
EV-9044,04/02/2026,Valley Forge Storage,new,Team,Monthly,199.00,,
EV-9055,2026-04-04,Ironwood Fabrication,Downgrade,Team (annual),,"$2,148.00",,new price effective today
EV-9079,2026-04-10,Kingfisher Charters,Cancellation,Starter (annual),,$528.00,2026-04-12,effective 2026-04-12
EV-9047,04/14/2026,Acme Industrial Group,Trial start,Team (annual),Annual,"2,148.00",,"14-day trial, not billed"
EV-9069,16-Apr-2026,Lakeside Veterinary,Cancellation,Scale,Monthly,"$ 1,190.00",2026-05-18,effective 2026-05-18
EV-9039,17-Apr-2026,Quill & Ink Print Shop,new,Team,Monthly,$ 199.00,,
EV-9068,04/18/2026,Acme Industrial,Cancellation,Scale,Monthly,"1,190.00",2026-05-20,effective 2026-05-20
EV-9070,2026-04-21,Harbor Light Marine,Cancellation,Business,Monthly,$499.00,2026-05-23,effective 2026-05-23
EV-9042,26-Apr-2026,Thistle & Thread Alterations,new,Business,Monthly,$ 499.00,,
EV-9063,26-Apr-2026,Larkspur Yoga,Upgrade,Business (annual),Annual,"$ 5,388.00",,new price effective today
EV-9053,04/28/2026,Acme Industrial Group,new,Starter,Monthly,49.00,,converted from trial
EV-9081,05-May-2026,Pemberton HVAC,Reactivation,Starter,Monthly,$ 49.00,,came back on a monthly plan
EV-9037,2026-05-08,Orchard Hill Dental,new,Starter,Monthly,$49.00,,
EV-9040,2026-05-12,Riverbend Physio,new,Scale (annual),,"$12,840.00",,
EV-9046,2026-05-14,Zephyr Bike Works,new,Team,Monthly,$199.00,,
EV-9064,2026-05-19,Silverline Logistics,Downgrade,Team (annual),,"$2,148.00",,new price effective today
EV-9049,2026-05-20,Cedar & Pine Landscaping Group,Trial start,Scale (annual),,"$12,840.00",,"14-day trial, not billed"
EV-9043,2026-05-25,Umber Ceramics,new,Starter,Monthly,$49.00,,
EV-9062,05/25/2026,Dorsey Freight,Upgrade,Business (annual),Annual,"5,388.00",,new price effective today
EV-9078,02-Jun-2026,Northfield Auto Body,Cancellation,Starter (annual),Annual,$ 528.00,2026-06-05,effective 2026-06-05
EV-9073,2026-06-05,Ironwood Fabrication,Cancellation,Team (annual),,"$2,148.00",2026-06-07,effective 2026-06-07
EV-9036,06-Jun-2026,Nightjar Coffee Roasters,new,Starter (annual),Annual,$ 528.00,,
EV-9074,06/06/2026,Ellington Bakeries,Cancellation,Team,Monthly,199.00,2026-06-08,effective 2026-06-08
EV-9071,06/08/2026,Vantage Point Media,Cancellation,Scale,Monthly,"1,190.00",2026-07-14,effective 2026-07-14
EV-9072,13-Jun-2026,Quarry Road Nursery,Cancellation,Scale (annual),Annual,"$ 12,840.00",2026-07-19,effective 2026-07-19
EV-9058,2026-06-18,Kestrel Analytics,Upgrade,Scale,Monthly,"$1,190.00",,new price effective today
EV-9075,24-Jun-2026,Westbrook Plumbing,Cancellation,Starter (annual),Annual,$ 528.00,2026-06-26,effective 2026-06-26
