Client Code,Client,Billing Contact,Billing Email,Terms,Status,Engagement Lead,Notes
C-0425,Oakline Furniture,Leila Lee,llee@oaklinefurniture.com,Net 15,Active,Eleanor Voss,
C-0711,Bellwether Logistics,William Smith,wsmith@bellwetherlogistics.com,Net 30,Active,Graham Achebe,
C-0942,Kestrel Aviation Services,Kwame Hernandez,khernandez@kestrelaviation.com,Net 45,Active,Eleanor Voss,
C-0228,Lumen Dental Group,Kathleen Clark,kclark@lumendental.com,net 30,Active,Sofia Lindqvist,
C-0294,Nettlefield Farms,Betty Hill,bhill@nettlefieldfarms.com,net 30,Active,Marcus Iyer,
C-0409,Kingsway Transit Authority,Jason Davis,jdavis@kingswaytransit.com,NET 45,Active,Graham Achebe,
C-0395,Jadeport Imports,Jennifer Cooper,jcooper@jadeportimports.com,Net 45,Active,Marcus Iyer,
C-0654,Fairhaven Senior Living,Jacob Reed,jreed@fairhavensenior.com,Net 30,Active,Daniel Reyes,
C-0958,Millbrook Orthopedics,Margaret Richardson,mrichardson@millbrookorthopedics.com,net 30,Active,Marcus Iyer,
C-0234,Jasper Ridge Winery,Richard Bailey,rbailey@jasperridge.com,Net 45,Active,Nadia Okafor,
C-0963,Granite State Tooling,Yuki Lopez,ylopez@granitestate.com,NET 45,Active,Graham Achebe,
C-321,HIGHFIELD ROBOTICS ,,ACOLLINS@HIGHFIELDROBOTICS.COM,Net 15,Active,Eleanor Voss,re-keyed from old billing system
C-0309,Harborview Insurance Group,Christopher Lee,clee@harborviewinsurance.com,Net 15,Active,Marcus Iyer,
C-0638,Foxhollow Veterinary Group,Carlos Phillips,cphillips@foxhollowveterinary.com,Net 30,Inactive,Marcus Iyer,
C-0289,Umberline Creative,Rahul Ortiz,rortiz@umberlinecreative.com,Net 15,Active,Daniel Reyes,
C-0661,Coppermine Analytics,Richard King,rking@coppermineanalytics.com,NET 45,Active,Nadia Okafor,
C-0501,Northwind Energy Cooperative,Jessica Murphy,jmurphy@northwindenergy.com,NET 45,Active,Eleanor Voss,
