Item #,Description,Category,UOM,Unit Cost,Preferred Supplier
36863,Clear PET cup 16oz 1000/cs,Disposables,Case,64.30,WestPak Disposables
36362,Wet floor sign,Janitorial Tools,Each,16.70,Truckee Janitorial Wholesale
04612,Can liner 30x37 13mic 500/cs,Can Liners,Case,26.10,Summit Poly
01038,Floor machine 17in 175rpm,Equipment,Each,$985.00,Gold Country Equipment
21942,Chemical dispensing station 4-product,Equipment,Each,$214.00,Gold Country Equipment
35429,Microfiber flat mop pad 18in 12/pk,Janitorial Tools,Pack,38.40,Truckee Janitorial Wholesale
10865,Hot cup lid 12-20oz 1000/cs,Disposables,Case,42.90,WestPak Disposables
47189,Trigger sprayer 32oz 12/pk,Janitorial Tools,Pack,14.30,Truckee Janitorial Wholesale
32433,Chemical resistant gloves 12 pair,Gloves,Dozen,44.90,Delta Glove & Safety
07801,Jumbo tissue dispenser twin,JANITORIAL TOOLS,Each,39.40,Truckee Janitorial Wholesale
23064,Nitrile gloves powder-free M 10x100,Gloves,Case,72.40,Delta Glove & Safety
37360,Carpet extractor 12 gal,EQUIPMENT,Each,"$1,240.00",Gold Country Equipment
67313,Window squeegee 14in,Janitorial Tools,Each,13.20,Truckee Janitorial Wholesale
39252,Floor pad 20in red 5/cs,Janitorial Tools,Case,28.60,Truckee Janitorial Wholesale
26445,Portion cup 2oz 2500/cs,Disposables,Case,34.70,WestPak Disposables
67925,Dolly for 32 gal receptacle,Janitorial Tools,Each,29.50,Truckee Janitorial Wholesale
18836,Foil sheet 12x10.75 500x6,Disposables,Case,48.20,WestPak Disposables
08704,Nitrile gloves powder-free L 10x100,Gloves,Case,72.40,Delta Glove & Safety
38987,Foam cup 12oz 1000/cs,Disposables,Case,36.20,WestPak Disposables
14849,Disinfectant quat concentrate 4x1 gal,Chemicals,Case,62.50,Valley Chemical Supply
08894,Film wrap 18in x 2000ft,Disposables,Roll,21.90,WestPak Disposables
12532,Hardwound roll towel 8in x 800ft 6/cs,Paper Goods,Case,42.75,Pacific Paper Co
16408,Pressure washer electric 2000psi,Equipment,Each,$649.00,Gold Country Equipment
41407,Rinse aid 5 gal,Chemicals,Pail,92.40,Valley Chemical Supply
51533,Bakery bag 6.5x9 1000/cs,Disposables,Case,17.60,WestPak Disposables
32956,Bleach 6% 6x1 gal,Chemicals,Case,18.90,Valley Chemical Supply
13804,Poly food service gloves 10x500,Gloves,Case,22.80,Delta Glove & Safety
04332,Vinyl gloves L 10x100,gloves,Case,38.60,Delta Glove & Safety
47340,Nitrile gloves powder-free XL 10x100,Gloves,Case,74.10,Delta Glove & Safety
05440,Can liner 24x24 8mic 1000/cs,Can Liners,Case,21.40,Summit Poly
54286,Auto scrubber 20in battery,Equipment,Each,"$3,480.00",Gold Country Equipment
18534,C-fold paper towels 12/150,Paper Goods,Case,34.20,Pacific Paper Co
02179,Stainless steel polish 12x17oz,Chemicals,Case,44.70,Valley Chemical Supply
31972,Can liner 40x46 16mic 250/cs,Can Liners,Case,27.60,Summit Poly
41933,Floor pad 20in black stripping 5/cs,JANITORIAL TOOLS,Case,31.20,Truckee Janitorial Wholesale
53397,Scrub sponge 20/cs,Janitorial Tools,Case,18.40,Truckee Janitorial Wholesale
25927,Can liner 43x47 1.5mil black 100/cs,Can Liners,Case,30.75,Summit Poly
40598,Roll towel dispenser mechanical,Janitorial Tools,Each,46.80,Truckee Janitorial Wholesale
23993,Floor burnisher 20in 1500rpm,Equipment,Each,"$1,890.00",Gold Country Equipment
11431,Vacuum bags 10/pk,Equipment,Pack,18.60,Gold Country Equipment
04030,Dishmachine detergent 5 gal,Chemicals,Pail,84.20,Valley Chemical Supply
01203,Heavy cutlery fork 1000/cs,Disposables,Case,24.60,WestPak Disposables
36333,Wet dry vac 16 gal,Equipment,Each,$312.00,Gold Country Equipment
68657,Beverage napkin white 4000/cs,Paper Goods,Case,27.30,Pacific Paper Co
18673,Hair net 144/box,Disposables,Box,12.60,WestPak Disposables
44378,Facial tissue 30/100,Paper Goods,Case,29.75,Pacific Paper Co
07499,Scrubber battery 12V AGM,Equipment,Each,$229.00,Gold Country Equipment
35643,Coreless toilet tissue 36/cs,Paper Goods,Case,48.60,Pacific Paper Co
04088,Degreaser heavy duty 4x1 gal,Chemicals,Case,54.30,Valley Chemical Supply
