Account,Website,Industry,City,State,Owner,Annual Revenue,Created,Notes
Dovetail Cabinetry,dovetailcabinets.com,Manufacturing,Bend,OR,Rahul Patel,"$22,000,000",04-Aug-2023,Prefers email
Quenchwell Beverages,https://quenchwell.com,Food & Beverage,Medford,OR,Leila Haddad,1200000,05/14/2023,Met at trade show
Quillon Cybersecurity,https://quillonsec.com,Software,Bend,OR,Leila Haddad,"$40,000,000",06/23/2023,
Pinecrest Schools Trust,pinecrestschools.org,Education,Eugene,OR,Tomasz Nowak,"$22,000,000",2024-08-20,Decision maker is the COO
Lumen Dental Group,lumendental.com,Healthcare,Portland,OR,Tomasz Nowak,40000000,"February 24, 2023",Slow to pay - net 60
Ultramar Shipping,https://ultramarshipping.com,Logistics,Bellevue,WA,Leila Haddad,"$2,500,000","July 15, 2025",Referred by a client
Jasper Ridge Winery,jasperridgewine.com,Food & Beverage,Spokane,WA,Tomasz Nowak,"$800,000",12/15/2025,Renewal each October
Stonefield Auto Group,https://www.stonefieldauto.com/,Automotive,Olympia,WA,Tomasz Nowak,"$9,500,000",2025-06-18,Budget resets in January
Driftwood Studios,https://driftwoodstudios.tv,Media,Vancouver,WA,Rahul Patel,800000,"June 10, 2025",
Kestrel Aviation Services,https://kestrelaviation.com,Aviation,Spokane,WA,Leila Haddad,"$800,000",05/14/24,Referred by a client
Oakline Furniture,oaklinefurniture.com,Manufacturing,Salem,OR,Leila Haddad,"40,000,000",04/27/25,Board approves over 50k
Zephyr Cold Chain,zephyrcoldchain.com,Logistics,Spokane,WA,Leila Haddad,4200000,11/23/2023,
BELLWETHER LOGISTICS,WWW.BELLWETHERLOGISTICS.COM,Logistics,Portland,OR,Leila Haddad,"$15,000,000",12/20/24,
Glenmoor Title & Escrow,https://www.glenmoortitle.com/,Real Estate,Eugene,OR,Tomasz Nowak,,Mar 24 2023,Board approves over 50k
Harborview Insurance Group,https://harborviewins.com,Insurance,Seattle,WA,Tomasz Nowak,4200000,04/12/2023,Slow to pay - net 60
Clearwater Dialysis Centers,www.clearwaterdialysis.com,Healthcare,Salem,OR,Leila Haddad,40000000,2024-01-02,
Granite State Tooling,https://www.granitestatetooling.com/,Manufacturing,Eugene,OR,Rahul Patel,,09/16/2025,
Amberly Cosmetics,https://www.amberlybeauty.com/,Consumer Goods,Medford,OR,Tomasz Nowak,"$9,500,000",05/31/2025,
Marlow & Finch LLP,www.marlowfinch.com,Legal,Olympia,WA,Tomasz Nowak,,14-Dec-2023,Referred by a client
Highfield Robotics,https://highfieldrobotics.com,Manufacturing,Tacoma,WA,Tomasz Nowak,2500000,2025-03-13,Renewal each October
Valencia Solar,https://www.valenciasolar.com/,Energy,Tacoma,WA,Tomasz Nowak,2500000,2024-11-21,Budget resets in January
Delta Ridge Foods,deltaridgefoods.com,Food & Beverage,Boise,ID,Leila Haddad,"15,000,000",2026-07-28,
Eastgate Medical Supply,https://www.eastgatemed.com/,Healthcare,Eugene,OR,Tomasz Nowak,22000000,"July 29, 2026",Board approves over 50k
Brightwater Utilities,www.brightwaterutil.com,Utilities,Seattle,WA,Tomasz Nowak,"2,500,000",27-Nov-2023,Referred by a client
Thornbury Chemicals,thornburychem.com,Chemicals,Bellevue,WA,Leila Haddad,"2,500,000",01/09/25,Met at trade show
Foxhollow Veterinary Group,,Healthcare,Eugene,OR,Tomasz Nowak,"4,200,000",03/16/2026,
Yellowstone Ranch Supply,yellowstoneranch.com,Agriculture,Portland,OR,Tomasz Nowak,6000000,"March 16, 2026",Met at trade show
Redstone Property Group,https://www.redstonepg.com/,Real Estate,Seattle,WA,Rahul Patel,,07/01/2023,
Xander Data Centers,,Software,Spokane,WA,Tomasz Nowak,6000000,08/19/23,
Alder Street Clinics,https://www.alderclinics.com/,Healthcare,Boise,ID,Rahul Patel,"$1,200,000","July 14, 2025",Met at trade show
Marlow & Finch LLP,www.marlowfinch.com,Legal,Olympia,WA,Tomasz Nowak,,14-Dec-2023,Referred by a client
Nightingale Home Care,https://www.nightingalehc.com/,Healthcare,Seattle,WA,Leila Haddad,4200000,04/03/24,Prefers email
Quarterdeck Marine,https://quarterdeckmarine.com,Marine,Seattle,WA,Rahul Patel,"2,500,000",2025-04-13,Budget resets in January
Ironbark Construction,https://ironbarkbuild.com,Construction,Spokane,WA,Leila Haddad,"$4,200,000",29-Aug-2025,Board approves over 50k
Hartwell Plastics,hartwellplastics.com,Manufacturing,Spokane,WA,Rahul Patel,,05-Apr-2023,
ASHGROVE MANUFACTURING,http://www.ashgrovemfg.com/,Manufacturing,Spokane,WA,Leila Haddad,"9,500,000","January 09, 2023",Met at trade show
Arbor Lane Childcare,https://www.arborlanekids.com/,Education,Olympia,WA,Rahul Patel,6000000,2024-10-17,
Sable Point Lighthouse Foundation,https://www.sablepointlh.org/,Nonprofit,Olympia,WA,Tomasz Nowak,"800,000",12/06/23,Budget resets in January
Zenith Precision Optics,https://zenithoptics.com,Manufacturing,Medford,OR,Tomasz Nowak,,03-Aug-2025,Renewal each October
Riverlane Apartments,riverlaneliving.com,Real Estate,Spokane,WA,Leila Haddad,"$4,200,000",Jun 20 2025,
Verity Accounting Partners,verityaccounting.com,Professional Services,Vancouver,WA,Leila Haddad,"2,500,000",27-Jan-2023,
Sable Point Lighthouse Foundation,https://www.sablepointlh.org/,Nonprofit,Olympia,WA,Tomasz Nowak,"800,000",12/06/23,Budget resets in January
Pilgrim Freight Lines,,Logistics,Seattle,WA,Rahul Patel,1200000,"June 05, 2023",Decision maker is the COO
Yarrow Organics,www.yarroworganics.com,Food & Beverage,Bellevue,WA,Leila Haddad,9500000,03-Mar-2026,Board approves over 50k
Orchard Valley Farms Co-op,www.orchardvalleycoop.com,Agriculture,Bellevue,WA,Rahul Patel,"9,500,000",05-Sep-2025,Budget resets in January
Crestline Charter Schools,www.crestlinecharter.org,Education,Bellevue,WA,Rahul Patel,"$22,000,000",2023-07-28,
Ultramar Shipping,https://ultramarshipping.com,Logistics,Bellevue,WA,Leila Haddad,"$2,500,000","July 15, 2025",Referred by a client
Ellery Textiles,https://www.ellerytextiles.com/,Manufacturing,Medford,OR,Rahul Patel,"40,000,000","March 17, 2026",Met at trade show
Underwood Paper Mills,https://underwoodpaper.com,Manufacturing,Seattle,WA,Leila Haddad,"9,500,000",May 13 2024,
Umber Creative Agency,https://umbercreative.com,Media,Spokane,WA,Tomasz Nowak,"9,500,000",Sep 03 2023,Prefers email
Juniper Software,junipersoft.io,Software,Portland,OR,Leila Haddad,,14-Jul-2024,
Parkstone Engineering,https://parkstoneeng.com,Engineering,Portland,OR,Leila Haddad,"1,200,000",2024-01-22,Renewal each October
Tidewater Packaging,www.tidewaterpkg.com,Manufacturing,Eugene,OR,Rahul Patel,,12/01/2024,Board approves over 50k
Stonefield Auto Group,https://www.stonefieldauto.com/,Automotive,Olympia,WA,Tomasz Nowak,"$9,500,000",2025-06-18,Budget resets in January
Bellwether Logistics,https://www.bellwetherlogistics.com/,Logistics,Portland,OR,Leila Haddad,15000000,2025-08-22,
Coppermine Analytics,copperminedata.com,Software,Portland,OR,Tomasz Nowak,,25-Mar-2025,Slow to pay - net 60
Vantage Fleet Solutions,https://www.vantagefleet.com/,Logistics,Medford,OR,Leila Haddad,22000000,10/17/2025,Renewal each October
Underwood Paper Mills,https://underwoodpaper.com,Manufacturing,Seattle,WA,Leila Haddad,"9,500,000",May 13 2024,
Brixton Fasteners,https://brixtonfasteners.com,Manufacturing,Portland,OR,Tomasz Nowak,,2025-10-17,Budget resets in January
Juno Pet Foods,https://www.junopetfoods.com/,Consumer Goods,Tacoma,WA,Leila Haddad,40000000,02/29/24,
Kingsway Transit Authority,https://www.kingswaytransit.gov/,Public Sector,Boise,ID,Tomasz Nowak,"40,000,000",2024-06-23,Slow to pay - net 60
Islandview Resorts,https://www.islandviewresorts.com/,Hospitality,Seattle,WA,Leila Haddad,"22,000,000",02/19/2024,Prefers email
